PHZadded,treatment,reactor,run,echem,rep,minutes,E_from_maxs,PHZaddedInt,electrode,current_from_maxs,max_current,E_from_mins,current_from_mins,min_current,signal
75uM,control,soak,5,SWV,0,1265.6,-0.279,75,i1,4.4543799e-6,4.4543799e-6,-0.117,1.211068e-6,1.211068e-6,3.2433118999999995e-6
75uM,control,transfer,5,SWV,0,1270.4333333333334,-0.274,75,i1,3.430895e-6,3.430895e-6,-0.124,1.2449402e-6,1.2449402e-6,2.1859548000000003e-6
75uM,control,transfer,5,SWV,9,1280.15,-0.274,75,i1,1.4730409e-6,1.4730409e-6,-0.115,1.2030865e-6,1.2030865e-6,2.6995440000000014e-7
75uM,control,transfer,5,SWV,10,1281.2333333333333,-0.279,75,i1,1.4959961e-6,1.4959961e-6,-0.163,1.2357052e-6,1.2357052e-6,2.602908999999999e-7
75uM,control,transfer,5,SWV,11,1282.3166666666666,-0.273,75,i1,1.4575726e-6,1.4575726e-6,-0.377,1.2415595e-6,1.2415595e-6,2.160131e-7
75uM,control,transfer,5,SWV,12,1283.3833333333334,-0.267,75,i1,1.4474142e-6,1.4474142e-6,-0.39,1.2362329e-6,1.2362329e-6,2.1118129999999991e-7
75uM,control,transfer,5,SWV,13,1284.4666666666667,-0.262,75,i1,1.4297526e-6,1.4297526e-6,-0.127,1.2539111e-6,1.2539111e-6,1.7584150000000006e-7
75uM,control,transfer,5,SWV,14,1285.55,-0.276,75,i1,1.4123714e-6,1.4123714e-6,-0.196,1.2548182e-6,1.2548182e-6,1.5755320000000005e-7
75uM,control,transfer,5,SWV,15,1286.6333333333334,-0.276,75,i1,1.4034497e-6,1.4034497e-6,-0.382,1.2412133e-6,1.2412133e-6,1.6223640000000002e-7
75uM,control,transfer,5,SWV,16,1287.7166666666667,-0.275,75,i1,1.3955837e-6,1.3955837e-6,-0.391,1.239861e-6,1.239861e-6,1.5572270000000002e-7
75uM,control,transfer,5,SWV,17,1288.8,-0.26,75,i1,1.4008937e-6,1.4008937e-6,-0.369,1.2355404e-6,1.2355404e-6,1.6535329999999994e-7
75uM,control,transfer,5,SWV,18,1289.8666666666666,-0.264,75,i1,1.4204352e-6,1.4204352e-6,-0.38,1.237981e-6,1.237981e-6,1.8245420000000004e-7
75uM,control,transfer,5,SWV,1,1271.5166666666667,-0.269,75,i1,2.6933274e-6,2.6933274e-6,-0.122,1.2053622e-6,1.2053622e-6,1.4879652e-6
75uM,control,transfer,5,SWV,19,1290.95,-0.276,75,i1,1.4136411e-6,1.4136411e-6,-0.389,1.2343036e-6,1.2343036e-6,1.793375e-7
75uM,control,transfer,5,SWV,20,1292.0333333333333,-0.257,75,i1,1.4135751e-6,1.4135751e-6,-0.383,1.2309559e-6,1.2309559e-6,1.8261919999999993e-7
75uM,control,transfer,5,SWV,21,1293.1166666666666,-0.266,75,i1,1.4316656e-6,1.4316656e-6,-0.379,1.22807e-6,1.22807e-6,2.0359559999999997e-7
75uM,control,transfer,5,SWV,22,1294.1833333333334,-0.27,75,i1,1.4372064e-6,1.4372064e-6,-0.386,1.2219684e-6,1.2219684e-6,2.1523799999999985e-7
75uM,control,transfer,5,SWV,23,1295.2666666666667,-0.268,75,i1,1.4455672e-6,1.4455672e-6,-0.389,1.232737e-6,1.232737e-6,2.1283019999999997e-7
75uM,control,transfer,5,SWV,24,1296.35,-0.253,75,i1,1.4615304e-6,1.4615304e-6,-0.393,1.234419e-6,1.234419e-6,2.2711139999999997e-7
75uM,control,transfer,5,SWV,25,1297.4333333333334,-0.256,75,i1,1.4565501e-6,1.4565501e-6,-0.391,1.2219849e-6,1.2219849e-6,2.3456520000000002e-7
75uM,control,transfer,5,SWV,26,1298.5,-0.256,75,i1,1.4666259e-6,1.4666259e-6,-0.396,1.2277567e-6,1.2277567e-6,2.3886920000000003e-7
75uM,control,transfer,5,SWV,27,1299.5833333333333,-0.247,75,i1,1.4619591e-6,1.4619591e-6,-0.375,1.2312363e-6,1.2312363e-6,2.307228000000001e-7
75uM,control,transfer,5,SWV,28,1300.6666666666667,-0.262,75,i1,1.4726452e-6,1.4726452e-6,-0.395,1.2332152e-6,1.2332152e-6,2.3942999999999997e-7
75uM,control,transfer,5,SWV,2,1272.6,-0.274,75,i1,2.1121914e-6,2.1121914e-6,-0.122,1.2023775e-6,1.2023775e-6,9.098139e-7
75uM,control,transfer,5,SWV,29,1301.7333333333333,-0.25,75,i1,1.4712929e-6,1.4712929e-6,-0.39,1.2236341e-6,1.2236341e-6,2.476588e-7
75uM,control,transfer,5,SWV,30,1302.8166666666666,-0.254,75,i1,1.4655706e-6,1.4655706e-6,-0.382,1.2386572e-6,1.2386572e-6,2.269134e-7
75uM,control,transfer,5,SWV,31,1303.9,-0.252,75,i1,1.4691821e-6,1.4691821e-6,-0.399,1.2292244e-6,1.2292244e-6,2.399576999999999e-7
75uM,control,transfer,5,SWV,32,1304.9833333333333,-0.252,75,i1,1.4775264e-6,1.4775264e-6,-0.392,1.2318465e-6,1.2318465e-6,2.456799000000002e-7
75uM,control,transfer,5,SWV,33,1306.05,-0.252,75,i1,1.4690996e-6,1.4690996e-6,-0.389,1.2347488e-6,1.2347488e-6,2.3435080000000007e-7
75uM,control,transfer,5,SWV,34,1307.1333333333334,-0.254,75,i1,1.4776913e-6,1.4776913e-6,-0.38,1.233611e-6,1.233611e-6,2.4408030000000003e-7
75uM,control,transfer,5,SWV,35,1308.2166666666667,-0.245,75,i1,1.4815831e-6,1.4815831e-6,-0.373,1.2367773e-6,1.2367773e-6,2.4480580000000004e-7
75uM,control,transfer,5,SWV,36,1309.3,-0.252,75,i1,1.4877837e-6,1.4877837e-6,-0.394,1.2389376e-6,1.2389376e-6,2.488461e-7
75uM,control,transfer,5,SWV,37,1310.3666666666666,-0.254,75,i1,1.4868438e-6,1.4868438e-6,-0.384,1.239152e-6,1.239152e-6,2.476917999999999e-7
75uM,control,transfer,5,SWV,38,1311.45,-0.25,75,i1,1.4851616e-6,1.4851616e-6,-0.395,1.2355569e-6,1.2355569e-6,2.496047e-7
75uM,control,transfer,5,SWV,3,1273.6833333333334,-0.269,75,i1,1.8093212e-6,1.8093212e-6,-0.134,1.205082e-6,1.205082e-6,6.042392e-7
75uM,control,transfer,5,SWV,39,1312.5333333333333,-0.257,75,i1,1.4841063e-6,1.4841063e-6,-0.385,1.2414771e-6,1.2414771e-6,2.4262920000000006e-7
75uM,control,transfer,5,SWV,40,1313.6166666666666,-0.221,75,i1,1.4790271e-6,1.4790271e-6,-0.399,1.2417739e-6,1.2417739e-6,2.372531999999999e-7
75uM,control,transfer,5,SWV,41,1314.6833333333334,-0.257,75,i1,1.4879487e-6,1.4879487e-6,-0.392,1.241741e-6,1.241741e-6,2.4620770000000005e-7
75uM,control,transfer,5,SWV,42,1315.7666666666667,-0.239,75,i1,1.4976288e-6,1.4976288e-6,-0.377,1.2432911e-6,1.2432911e-6,2.543377e-7
75uM,control,transfer,5,SWV,43,1316.85,-0.248,75,i1,1.4837599e-6,1.4837599e-6,-0.4,1.233644e-6,1.233644e-6,2.501158999999998e-7
75uM,control,transfer,5,SWV,44,1317.9333333333334,-0.254,75,i1,1.4916919e-6,1.4916919e-6,-0.394,1.2378162e-6,1.2378162e-6,2.5387570000000017e-7
75uM,control,transfer,5,SWV,45,1319,-0.216,75,i1,1.4961446e-6,1.4961446e-6,-0.399,1.242648e-6,1.242648e-6,2.5349659999999994e-7
75uM,control,transfer,5,SWV,46,1320.0833333333333,-0.237,75,i1,1.492533e-6,1.492533e-6,-0.377,1.2437198e-6,1.2437198e-6,2.4881319999999987e-7
75uM,control,transfer,5,SWV,47,1321.1666666666667,-0.26,75,i1,1.4957816e-6,1.4957816e-6,-0.397,1.2421202e-6,1.2421202e-6,2.5366140000000016e-7
75uM,control,transfer,5,SWV,48,1322.2333333333333,-0.243,75,i1,1.4910654e-6,1.4910654e-6,-0.395,1.2399269e-6,1.2399269e-6,2.5113850000000013e-7
75uM,control,transfer,5,SWV,4,1274.75,-0.27,75,i1,1.7163792e-6,1.7163792e-6,-0.135,1.2214903e-6,1.2214903e-6,4.948888999999999e-7
75uM,control,transfer,5,SWV,49,1323.3166666666666,-0.235,75,i1,1.4878991e-6,1.4878991e-6,-0.387,1.2359857e-6,1.2359857e-6,2.519134000000002e-7
75uM,control,transfer,5,SWV,50,1324.4,-0.233,75,i1,1.4986676e-6,1.4986676e-6,-0.397,1.2395806e-6,1.2395806e-6,2.5908699999999984e-7
75uM,control,transfer,5,SWV,51,1325.4833333333333,-0.249,75,i1,1.4908344e-6,1.4908344e-6,-0.381,1.2375193e-6,1.2375193e-6,2.533151000000001e-7
75uM,control,transfer,5,SWV,52,1326.55,-0.233,75,i1,1.4961446e-6,1.4961446e-6,-0.392,1.2357877e-6,1.2357877e-6,2.603569e-7
75uM,control,transfer,5,SWV,53,1327.6333333333334,-0.226,75,i1,1.4918239e-6,1.4918239e-6,-0.392,1.2467376e-6,1.2467376e-6,2.4508629999999985e-7
75uM,control,transfer,5,SWV,54,1328.7166666666667,-0.25,75,i1,1.4866293e-6,1.4866293e-6,-0.397,1.2453359e-6,1.2453359e-6,2.412934000000001e-7
75uM,control,transfer,5,SWV,55,1329.8,-0.256,75,i1,1.4928463e-6,1.4928463e-6,-0.391,1.2463913e-6,1.2463913e-6,2.464549999999999e-7
75uM,control,transfer,5,SWV,56,1330.8666666666666,-0.204,75,i1,1.4861841e-6,1.4861841e-6,-0.396,1.2426644e-6,1.2426644e-6,2.4351969999999997e-7
75uM,control,transfer,5,SWV,57,1331.95,-0.248,75,i1,1.4922858e-6,1.4922858e-6,-0.4,1.2346499e-6,1.2346499e-6,2.576359000000001e-7
75uM,control,transfer,5,SWV,58,1333.0333333333333,-0.223,75,i1,1.4849143e-6,1.4849143e-6,-0.394,1.2443464e-6,1.2443464e-6,2.405678999999999e-7
75uM,control,transfer,5,SWV,5,1275.8333333333333,-0.275,75,i1,1.6258282e-6,1.6258282e-6,-0.135,1.21275e-6,1.21275e-6,4.130782e-7
75uM,control,transfer,5,SWV,59,1334.1,-0.242,75,i1,1.4909995e-6,1.4909995e-6,-0.391,1.2377996e-6,1.2377996e-6,2.531999e-7
75uM,control,transfer,5,SWV,6,1276.9166666666667,-0.275,75,i1,1.6318144e-6,1.6318144e-6,-0.111,1.1855403e-6,1.1855403e-6,4.4627409999999993e-7
75uM,control,transfer,5,SWV,7,1277.9833333333333,-0.27,75,i1,1.6135921e-6,1.6135921e-6,-0.135,1.2211603e-6,1.2211603e-6,3.924318e-7
75uM,control,transfer,5,SWV,8,1279.0666666666666,-0.268,75,i1,1.5282191e-6,1.5282191e-6,-0.152,1.2326216e-6,1.2326216e-6,2.955975e-7
75uM,control,soak,5,SWV,0,1265.6,-0.274,75,i2,5.1175084e-6,5.1175084e-6,-0.067,7.6528869e-7,7.6528869e-7,4.35221971e-6
75uM,control,transfer,5,SWV,0,1270.4333333333334,-0.275,75,i2,3.3917131e-6,3.3917131e-6,-0.045,7.2689807e-7,7.2689807e-7,2.66481503e-6
75uM,control,transfer,5,SWV,9,1280.15,-0.297,75,i2,1.3291917e-6,1.3291917e-6,-0.079,8.1842205e-7,8.1842205e-7,5.107696500000001e-7
75uM,control,transfer,5,SWV,10,1281.2333333333333,-0.282,75,i2,1.3979253e-6,1.3979253e-6,-0.099,8.1563508e-7,8.1563508e-7,5.822902200000001e-7
75uM,control,transfer,5,SWV,11,1282.3166666666666,-0.288,75,i2,1.3245248e-6,1.3245248e-6,-0.081,8.4947419e-7,8.4947419e-7,4.7505061e-7
75uM,control,transfer,5,SWV,12,1283.3833333333334,-0.284,75,i2,1.3509925e-6,1.3509925e-6,-0.093,8.4010742e-7,8.4010742e-7,5.108850799999999e-7
75uM,control,transfer,5,SWV,13,1284.4666666666667,-0.282,75,i2,1.2863979e-6,1.2863979e-6,-0.115,8.6288122e-7,8.6288122e-7,4.235166800000001e-7
75uM,control,transfer,5,SWV,14,1285.55,-0.279,75,i2,1.271276e-6,1.271276e-6,-0.079,8.5356396e-7,8.5356396e-7,4.1771204e-7
75uM,control,transfer,5,SWV,15,1286.6333333333334,-0.309,75,i2,1.272826e-6,1.272826e-6,-0.074,8.9083312e-7,8.9083312e-7,3.8199288e-7
75uM,control,transfer,5,SWV,16,1287.7166666666667,-0.278,75,i2,1.2521797e-6,1.2521797e-6,-0.08,8.8169725e-7,8.8169725e-7,3.7048244999999985e-7
75uM,control,transfer,5,SWV,17,1288.8,-0.256,75,i2,1.2653063e-6,1.2653063e-6,-0.092,8.8789784e-7,8.8789784e-7,3.7740845999999996e-7
75uM,control,transfer,5,SWV,18,1289.8666666666666,-0.271,75,i2,1.2939013e-6,1.2939013e-6,-0.092,8.8854097e-7,8.8854097e-7,4.0536033000000006e-7
75uM,control,transfer,5,SWV,1,1271.5166666666667,-0.277,75,i2,2.82372e-6,2.82372e-6,-0.07,7.4129457e-7,7.4129457e-7,2.08242543e-6
75uM,control,transfer,5,SWV,19,1290.95,-0.252,75,i2,1.2808407e-6,1.2808407e-6,-0.064,9.0381138e-7,9.0381138e-7,3.770293199999999e-7
75uM,control,transfer,5,SWV,20,1292.0333333333333,-0.277,75,i2,1.2562198e-6,1.2562198e-6,-0.089,9.0292087e-7,9.0292087e-7,3.5329893e-7
75uM,control,transfer,5,SWV,21,1293.1166666666666,-0.278,75,i2,1.2761737e-6,1.2761737e-6,-0.09,9.1914785e-7,9.1914785e-7,3.570258500000001e-7
75uM,control,transfer,5,SWV,22,1294.1833333333334,-0.27,75,i2,1.3032682e-6,1.3032682e-6,-0.074,9.1340911e-7,9.1340911e-7,3.898590899999999e-7
75uM,control,transfer,5,SWV,23,1295.2666666666667,-0.269,75,i2,1.3322755e-6,1.3322755e-6,-0.073,9.3814526e-7,9.3814526e-7,3.9413023999999997e-7
75uM,control,transfer,5,SWV,24,1296.35,-0.272,75,i2,1.3532683e-6,1.3532683e-6,-0.065,9.2401268e-7,9.2401268e-7,4.2925562e-7
75uM,control,transfer,5,SWV,25,1297.4333333333334,-0.254,75,i2,1.3628329e-6,1.3628329e-6,-0.106,9.486829e-7,9.486829e-7,4.1415e-7
75uM,control,transfer,5,SWV,26,1298.5,-0.271,75,i2,1.3247555e-6,1.3247555e-6,-0.087,9.2610696e-7,9.2610696e-7,3.9864854e-7
75uM,control,transfer,5,SWV,27,1299.5833333333333,-0.274,75,i2,1.3965566e-6,1.3965566e-6,-0.067,9.3468219e-7,9.3468219e-7,4.6187441e-7
75uM,control,transfer,5,SWV,28,1300.6666666666667,-0.254,75,i2,1.3068632e-6,1.3068632e-6,-0.077,9.506453e-7,9.506453e-7,3.562179000000001e-7
75uM,control,transfer,5,SWV,2,1272.6,-0.277,75,i2,2.1401434e-6,2.1401434e-6,-0.074,7.353579e-7,7.353579e-7,1.4047855e-6
75uM,control,transfer,5,SWV,29,1301.7333333333333,-0.269,75,i2,1.3347326e-6,1.3347326e-6,-0.07,9.5603775e-7,9.5603775e-7,3.7869485000000003e-7
75uM,control,transfer,5,SWV,30,1302.8166666666666,-0.25,75,i2,1.3508605e-6,1.3508605e-6,-0.082,9.4897973e-7,9.4897973e-7,4.0188076999999993e-7
75uM,control,transfer,5,SWV,31,1303.9,-0.247,75,i2,1.3342873e-6,1.3342873e-6,-0.098,9.6400288e-7,9.6400288e-7,3.702844199999999e-7
75uM,control,transfer,5,SWV,32,1304.9833333333333,-0.255,75,i2,1.3644491e-6,1.3644491e-6,-0.048,9.7881161e-7,9.7881161e-7,3.8563749e-7
75uM,control,transfer,5,SWV,33,1306.05,-0.276,75,i2,1.3205339e-6,1.3205339e-6,-0.069,9.5259117e-7,9.5259117e-7,3.6794273e-7
75uM,control,transfer,5,SWV,34,1307.1333333333334,-0.267,75,i2,1.3180108e-6,1.3180108e-6,-0.115,9.7124223e-7,9.7124223e-7,3.467685699999999e-7
75uM,control,transfer,5,SWV,35,1308.2166666666667,-0.26,75,i2,1.3252009e-6,1.3252009e-6,-0.06,9.6682277e-7,9.6682277e-7,3.583781299999999e-7
75uM,control,transfer,5,SWV,36,1309.3,-0.269,75,i2,1.3283176e-6,1.3283176e-6,-0.097,9.6842234e-7,9.6842234e-7,3.598952599999999e-7
75uM,control,transfer,5,SWV,37,1310.3666666666666,-0.247,75,i2,1.3719689e-6,1.3719689e-6,-0.091,9.8281885e-7,9.8281885e-7,3.891500500000001e-7
75uM,control,transfer,5,SWV,38,1311.45,-0.269,75,i2,1.3252669e-6,1.3252669e-6,-0.101,9.7858072e-7,9.7858072e-7,3.4668618000000006e-7
75uM,control,transfer,5,SWV,3,1273.6833333333334,-0.289,75,i2,1.7878338e-6,1.7878338e-6,-0.086,7.5559205e-7,7.5559205e-7,1.03224175e-6
75uM,control,transfer,5,SWV,39,1312.5333333333333,-0.248,75,i2,1.3613817e-6,1.3613817e-6,-0.106,9.8003193e-7,9.8003193e-7,3.8134976999999997e-7
75uM,control,transfer,5,SWV,40,1313.6166666666666,-0.259,75,i2,1.300778e-6,1.300778e-6,-0.089,9.9190527e-7,9.9190527e-7,3.088727299999999e-7
75uM,control,transfer,5,SWV,41,1314.6833333333334,-0.255,75,i2,1.3156526e-6,1.3156526e-6,-0.072,9.891678e-7,9.891678e-7,3.264847999999999e-7
75uM,control,transfer,5,SWV,42,1315.7666666666667,-0.254,75,i2,1.3416258e-6,1.3416258e-6,-0.059,9.7467239e-7,9.7467239e-7,3.6695341e-7
75uM,control,transfer,5,SWV,43,1316.85,-0.237,75,i2,1.3209627e-6,1.3209627e-6,-0.068,9.7264399e-7,9.7264399e-7,3.4831871e-7
75uM,control,transfer,5,SWV,44,1317.9333333333334,-0.277,75,i2,1.3495084e-6,1.3495084e-6,-0.074,9.3234047e-7,9.3234047e-7,4.171679299999999e-7
75uM,control,transfer,5,SWV,45,1319,-0.267,75,i2,1.3628164e-6,1.3628164e-6,-0.079,9.3918419e-7,9.3918419e-7,4.236322100000001e-7
75uM,control,transfer,5,SWV,46,1320.0833333333333,-0.25,75,i2,1.3388387e-6,1.3388387e-6,-0.097,9.1748228e-7,9.1748228e-7,4.2135642e-7
75uM,control,transfer,5,SWV,47,1321.1666666666667,-0.236,75,i2,1.3014376e-6,1.3014376e-6,-0.108,9.6291444e-7,9.6291444e-7,3.3852315999999996e-7
75uM,control,transfer,5,SWV,48,1322.2333333333333,-0.234,75,i2,1.362734e-6,1.362734e-6,-0.087,9.671196e-7,9.671196e-7,3.956144e-7
75uM,control,transfer,5,SWV,4,1274.75,-0.278,75,i2,1.6693309e-6,1.6693309e-6,-0.057,7.8656183e-7,7.8656183e-7,8.827690699999999e-7
75uM,control,transfer,5,SWV,49,1323.3166666666666,-0.243,75,i2,1.3407188e-6,1.3407188e-6,-0.083,9.7175348e-7,9.7175348e-7,3.6896531999999997e-7
75uM,control,transfer,5,SWV,50,1324.4,-0.236,75,i2,1.3325227e-6,1.3325227e-6,-0.108,9.811863e-7,9.811863e-7,3.5133639999999983e-7
75uM,control,transfer,5,SWV,51,1325.4833333333333,-0.269,75,i2,1.2913617e-6,1.2913617e-6,-0.054,9.9109718e-7,9.9109718e-7,3.0026451999999995e-7
75uM,control,transfer,5,SWV,52,1326.55,-0.26,75,i2,1.2999039e-6,1.2999039e-6,-0.089,9.810708e-7,9.810708e-7,3.188331e-7
75uM,control,transfer,5,SWV,53,1327.6333333333334,-0.257,75,i2,1.3127833e-6,1.3127833e-6,-0.101,9.7732743e-7,9.7732743e-7,3.3545587e-7
75uM,control,transfer,5,SWV,54,1328.7166666666667,-0.224,75,i2,1.2913288e-6,1.2913288e-6,-0.069,9.7581028e-7,9.7581028e-7,3.1551852000000004e-7
75uM,control,transfer,5,SWV,55,1329.8,-0.271,75,i2,1.2949567e-6,1.2949567e-6,-0.08,9.8341252e-7,9.8341252e-7,3.1154417999999986e-7
75uM,control,transfer,5,SWV,56,1330.8666666666666,-0.266,75,i2,1.2876843e-6,1.2876843e-6,-0.383,9.7848181e-7,9.7848181e-7,3.092024900000001e-7
75uM,control,transfer,5,SWV,57,1331.95,-0.263,75,i2,1.2747721e-6,1.2747721e-6,-0.069,9.8753515e-7,9.8753515e-7,2.8723694999999997e-7
75uM,control,transfer,5,SWV,58,1333.0333333333333,-0.23,75,i2,1.3260584e-6,1.3260584e-6,-0.397,9.411466e-7,9.411466e-7,3.8491179999999994e-7
75uM,control,transfer,5,SWV,5,1275.8333333333333,-0.27,75,i2,1.5933743e-6,1.5933743e-6,-0.064,7.8123526e-7,7.8123526e-7,8.1213904e-7
75uM,control,transfer,5,SWV,59,1334.1,-0.254,75,i2,1.2669719e-6,1.2669719e-6,-0.104,9.9301019e-7,9.9301019e-7,2.7396171000000006e-7
75uM,control,transfer,5,SWV,6,1276.9166666666667,-0.266,75,i2,1.5651915e-6,1.5651915e-6,-0.078,7.8238963e-7,7.8238963e-7,7.8280187e-7
75uM,control,transfer,5,SWV,7,1277.9833333333333,-0.278,75,i2,1.5272956e-6,1.5272956e-6,-0.079,7.9868255e-7,7.9868255e-7,7.286130500000001e-7
75uM,control,transfer,5,SWV,8,1279.0666666666666,-0.283,75,i2,1.460986e-6,1.460986e-6,-0.112,8.1406847e-7,8.1406847e-7,6.469175299999999e-7
