run,quencher_eq,term,estimate,std.error,statistic,p.value,conf.low,conf.high
1,NA,A1,0.05294176982709683,5.46772437398914e-4,96.82596672017611,6.106569021419695e-144,0.051885867773408124,0.05403747092448447
1,NA,lrc1,18.10445959845235,0.014327044886084894,1263.6562349320384,7.3e-322,18.0768746353213,18.135726305572263
1,NA,A2,4.268070389351981e-4,1.341685977583958e-4,3.1811246898754293,0.0017623210880519035,1.9451012945898553e-4,9.315813446326975e-4
1,NA,lrc2,14.402061007116021,0.7560498531022007,19.049089088532885,5.439965395729115e-43,11.502664516087396,16.137189688834454
2,0,A1,0.04002609996675787,4.396942225209896e-4,91.03167136758807,4.2258286856666374e-184,0.03916345478456985,0.04091461147609895
2,0,lrc1,17.771461662363993,0.021103392532947834,842.1139698092694,0,17.72723216151259,17.816213702666726
2,0,A2,0.010774677665300127,2.369841764946413e-4,45.46581052234838,7.823014816550379e-118,0.010267276274882674,0.011297759530675872
2,0,lrc2,14.93276238943434,0.036075757462268286,413.9278961793816,0,14.851649312793041,15.012073327583986
3,1,A1,0.03669785215821171,4.598126430338132e-4,79.81044608969803,3.3487005611682316e-171,0.035803076677240156,0.03762649818332417
3,1,lrc1,17.846379766973367,0.022631739607249634,788.5553685522534,0,17.799703939787147,17.8936321307266
3,1,A2,0.008422383524114674,2.188971857039787e-4,38.47643585287806,6.318258101521536e-103,0.007959759937091727,0.008903285406251541
3,1,lrc2,14.958152782580374,0.043373613896465914,344.8675689852804,1.3904657e-317,14.860824426659805,15.05301741134849
4,2,A1,0.041086446830684464,3.5272895995088095e-4,116.48163744878201,1.6555791624931531e-208,0.04039681034774425,0.04179437184827961
4,2,lrc1,17.874816365739207,0.015453435727784817,1156.6888218650834,0,17.843167669902947,17.90689480862688
4,2,A2,0.0071307541953994115,1.6986997286670924e-4,41.97772022365986,1.2441259197220843e-110,0.0067767339358229504,0.00749991385460278
4,2,lrc2,15.04121721389728,0.038726192162883054,388.3990749886705,0,14.956080098568792,15.124650844200843
5,3,A1,0.03394061323206499,3.577024645385381e-4,94.88504161091207,3.470937236299523e-188,0.03324654994747195,0.03465556606662845
5,3,lrc1,17.85105666787829,0.01941642940556418,919.3789596949633,0,17.812465850791476,17.890379455501897
5,3,A2,0.005129788905199456,1.8086942468135142e-4,28.361835695761815,1.6294213742931006e-77,0.004769296048360073,0.005513637380493585
5,3,lrc2,15.042346725345698,0.05676328323224693,265.0013506759281,5.383673959431685e-291,14.922018161379311,15.15957357712257
6,4,A1,0.033023398655203505,4.179368186404928e-4,79.01528935073335,3.39624464389668e-169,0.03220937272530093,0.03387144403552179
6,4,lrc1,17.910770516389974,0.022417085168780937,798.9785639630497,0,17.865092277432147,17.957879106092282
6,4,A2,0.004084877931132437,1.9754873408364318e-4,20.677823880171655,1.823627338138585e-54,0.0036856509831618947,0.0045253616875583
6,4,lrc2,15.105745488649948,0.07742810048606662,195.093840528456,2.33547861833541e-258,14.93583764867165,15.270100619196226
7,6,A1,0.022934389699060927,3.569562720522554e-4,64.24985774084823,3.2680419686071667e-150,0.022245381963645557,0.023662015122865476
7,6,lrc1,18.027646710118503,0.024253046255863726,743.3147374532348,0,17.977800146988294,18.078553702168694
7,6,A2,0.0031577903135493373,1.284724040225407e-4,24.579522252851262,1.197075638013932e-66,0.0028880006066668395,0.003448962359498438
7,6,lrc2,15.075645143555386,0.06896688234282575,218.59252776740348,1.363531070649371e-271,14.916782627895603,15.228484910804855
8,8,A1,0.013278351007396069,4.572580850879231e-4,29.03907320707706,6.914124591956181e-79,0.01240709556453555,0.014269316596472919
8,8,lrc1,18.060806267857433,0.050422303884350934,358.190817882536,6.08017e-318,17.956517496209898,18.16935765847318
8,8,A2,0.0018043497354489455,1.4066747329366216e-4,12.827057266338496,9.05747826316704e-29,0.0015230461228936134,0.0021289019898047276
8,8,lrc2,14.9622326515209,0.14028057297292984,106.65933517685436,7.659470279937577e-198,14.646865683040048,15.259481236140127
9,10,A1,0.01267253701186388,3.643336411986907e-4,34.782780338840205,3.847147892870039e-93,0.011963200899189126,0.013466553238935372
9,10,lrc1,18.049528161669784,0.0406553682126628,443.9642033803534,0,17.96311290695479,18.14120959961199
9,10,A2,0.001052290450032124,9.906727704737441e-5,10.621978128347203,1.1339746819661698e-21,8.494045713100868e-4,0.0013024431833648822
9,10,lrc2,14.736664489559814,0.18620215286131958,79.1433625396128,8.4356108602426365e-168,14.278197933336966,15.155716715413517
